activity,group,nact,rate
F,NEf,V,0.029827062730968447
F,EWf,B,0.02047902809413495
F,EWf,E,0.011161841207441
F,EWf,F,0.01896205261854899
F,EWf,O,0.009476884014046888
F,EWf,R,0.0065755103786217595
F,EWf,S,0.007781649022419592
F,EWf,V,0.020144265279282127
F,RJf,B,0.0427964854000168
F,RJf,F,0.04455510310806475
F,RAf,B,0.02125438620504665
F,RAf,F,0.04802439521942821
G,KI,K,0.02538623869596245
G,GS,B,0.1039487874379567
G,GS,G,0.0691485859736735
G,GS,K,0.06920056047945441
G,GS,V,0.06834232937620018
G,MS,B,0.029100171723820366
G,NEf,B,0.028447206564581436
G,EWf,B,0.006613688330157756
G,EWf,K,0.008319059148694862
K,KI,B,0.09546714082703925
K,KI,E,0.05211069762775184
K,KI,F,0.02690646898083106
K,KI,K,0.07775505288431395
K,KI,O,0.0214064973619676
K,KI,S,0.04864519891831641
K,KI,V,0.06000643955279515
K,NEf,B,0.042312049828087034
K,NEf,V,0.034997002124603445
K,EWf,B,0.005777636179165047
K,EWf,E,0.0028119789349637034
K,EWf,G,0.013020739615674026
K,EWf,V,0.0049955048761523594
M,MS,B,0.024202755835608453
M,MS,M,0.039081733533696844
M,MS,O,0.07332225891495148
M,MS,V,0.042422331956415926
M,OS,B,0.10030598771396526
M,OS,E,0.04954709930900665
M,OS,M,0.06982781334325337
M,OS,O,0.049102766539598316
M,OS,S,0.05492479299496581
M,OS,V,0.05498007391184024
M,NEf,B,0.0024302482172111773
O,KI,O,0.02515366872507485
O,KI,V,0.01712422276360025
O,EWm,O,0.020318971607506797
O,EWm,R,0.007155546908669843
O,EWm,V,0.00591927571986446
O,RJm,O,0.059403843595833554
O,RJm,R,0.03249745303031585
O,RJm,V,0.051669870752980955
O,RAm,O,0.11904330728373004
O,RAm,V,0.06178133364499632
O,NEf,O,0.07127262786318318
O,NEf,V,0.05348164650984435
O,EWf,O,0.030445246240272374
O,EWf,R,0.009442337867361301
O,EWf,V,0.01599495282305229
O,RJf,O,0.055602083758471164
O,RJf,R,0.04297362095282627
O,RJf,V,0.048542427670296213
O,RAf,O,0.03480919754727336
O,RAf,R,0.08749979621153814
O,RAf,V,0.04000084128716372
R,EWm,R,0.012822713708528654
R,RJm,R,0.029122810740197562
R,EWf,R,0.011544425500629719
S,GS,B,0.029108580956337775
S,MS,B,0.06770759720371716
S,AZ,B,0.04629835843988406
S,ST,B,0.08955984768827932
S,EWm,B,0.014034806662758343
S,EWm,E,0.006375260534599111
S,EWm,V,0.01119719517470613
S,RJm,B,0.029335346247290905
