group_generation,code,Wege,activity,group_dest_mode,group_erzeugung,rate
RJoPM,WOOW,0.17821153078750065,N,RJoP,RJm,0.05940384359583355
RJePM,WORW,0.06239510981820642,N,RJeP,RJm,0.020798369939402143
RJhPM,WORW,0.06239510981820642,N,RJhP,RJm,0.020798369939402143
RJoPM,WORW,0.06239510981820642,N,RJoP,RJm,0.020798369939402143
RJePM,WRRW,0.08736843222059268,N,RJeP,RJm,0.029122810740197562
RJhPM,WRRW,0.08736843222059268,N,RJhP,RJm,0.029122810740197562
RJoPM,WRRW,0.08736843222059268,N,RJoP,RJm,0.029122810740197562
RJePM,WSBW,0.08800603874187271,N,RJeP,RJm,0.029335346247290905
RJhPM,WSBW,0.08800603874187271,N,RJhP,RJm,0.029335346247290905
RJoPM,WSBW,0.08800603874187271,N,RJoP,RJm,0.029335346247290905
RJePM,WVVW,0.2138663866849588,N,RJeP,RJm,0.07128879556165292
RJhPM,WVVW,0.2138663866849588,N,RJhP,RJm,0.07128879556165292
RJoPM,WVVW,0.2138663866849588,N,RJoP,RJm,0.07128879556165292
RJePM,WVOW,0.12100722448313092,N,RJeP,RJm,0.04033574149437697
RJhPM,WVOW,0.12100722448313092,N,RJhP,RJm,0.04033574149437697
RJoPM,WVOW,0.12100722448313092,N,RJoP,RJm,0.04033574149437697
RJePM,WBAW,0.005898789896123785,N,RJeP,RJm,0.0019662632987079284
RJhPM,WBAW,0.005898789896123785,N,RJhP,RJm,0.0019662632987079284
RJoPM,WBAW,0.005898789896123785,N,RJoP,RJm,0.0019662632987079284
RJePM,WVBW,0.031075814102999068,N,RJeP,RJm,0.010358604700999691
RJhPM,WVBW,0.031075814102999068,N,RJhP,RJm,0.010358604700999691
RJoPM,WVBW,0.031075814102999068,N,RJoP,RJm,0.010358604700999691
RJePM,WFBW,0.037834727251057236,N,RJeP,RJm,0.012611575750352412
RJhPM,WFBW,0.037834727251057236,N,RJhP,RJm,0.012611575750352412
RJoPM,WFBW,0.037834727251057236,N,RJoP,RJm,0.012611575750352412
RJePM,WOEW,0.04426735286049496,N,RJeP,RJm,0.014755784286831653
RJhPM,WOEW,0.04426735286049496,N,RJhP,RJm,0.014755784286831653
RJoPM,WOEW,0.04426735286049496,N,RJoP,RJm,0.014755784286831653
RJePM,WVEW,0.039302325573103314,N,RJeP,RJm,0.013100775191034437
RJhPM,WVEW,0.039302325573103314,N,RJhP,RJm,0.013100775191034437
RJoPM,WVEW,0.039302325573103314,N,RJoP,RJm,0.013100775191034437
RJePM,WVOW,0.15500961225894286,N,RJeP,RJm,0.05166987075298096
RJhPM,WVOW,0.15500961225894286,N,RJhP,RJm,0.05166987075298096
RJoPM,WVOW,0.15500961225894286,N,RJoP,RJm,0.05166987075298096
RJePM,WROW,0.03509724927274112,N,RJeP,RJm,0.011699083090913706
RJhPM,WROW,0.03509724927274112,N,RJhP,RJm,0.011699083090913706
RJoPM,WROW,0.03509724927274112,N,RJoP,RJm,0.011699083090913706
RAePM,WAW,0.06579148064377045,N,RAeP,RAm,0.032895740321885227
